type_name,contacts,print_phone,print_click
Accessories,0.4534257120862202,0.32409545804464973,2.420323325635104
Campervans,0.8101736972704715,1.317617866004963,5.259305210918114
For Hire,0.0030120481927710845,0.00572289156626506,0.18343373493975904
Lodge,1.0732758620689655,2.5474137931034484,6.581896551724138
Motorhomes,0.425877663651694,0.5167867545607849,1.8062241300015331
Services,0.14285714285714285,0.14285714285714285,0.42857142857142855
Static Caravans,0.4685714285714286,1.13010989010989,4.0575824175824176
Touring Caravans,0.7490272373540856,1.5965688008489565,2.4209409267775026
Towing Vehicles,0.19924812030075187,0.21052631578947367,9.142857142857142
Wanted,0.7272727272727273,1.2272727272727273,9.136363636363637
